,energy of p orbital of B (eV),energy of p orbital of O (eV),radius of s orbital of A (A),van der Waals radius of A (A),work function (eV)
1,7.45672141798,-0.619643519697,1.67,3.03,3.73412584248
3,6.50647721857,-0.489980880659,1.67,3.03,4.16463949026
5,6.3149996949,-0.374237598736,1.67,3.03,4.7313497327
7,4.50539825485,-0.794280914145,1.67,3.03,3.48279642302
9,4.93921887399,-0.593469335964,1.67,3.03,4.39669002785
11,2.85482104801,-1.15985323403,1.67,3.03,3.8907591140599997
13,-25.235590424,-0.494080528486,1.71,3.43,4.3523002403
15,-32.48136368,-1.0302525507200002,1.71,3.43,3.45239699203
17,-24.7549345362,-0.49562124725699996,1.71,3.43,4.09229472926
19,-28.3427967659,-0.49324122450900004,1.71,3.43,4.03376071309
21,-38.7452165997,-1.5958519709799999,1.71,3.43,2.43733475851
23,-31.232991489099998,-1.65411824146,1.71,3.43,3.2503686348299996
25,-34.3605698358,-1.51941080675,1.71,3.43,3.32482948324
27,-44.2198820853,-2.36036149396,1.71,3.43,1.9810430242400003
29,-36.3559850594,-3.05771509861,1.71,3.43,1.4235624810299998
31,-39.842041109,-3.64824947812,1.71,3.43,0.8818648872849999
33,-49.0590699833,-2.3575488404400002,1.71,3.43,2.20395099792
35,-43.539321469499995,-3.6645645129,1.71,3.43,0.993569840461
37,-53.896405348100004,-2.14825224911,1.71,3.43,2.55662082884
39,6.61867879355,-0.8347493575239999,1.71,3.43,3.4953903221300004
41,5.809704798589999,-0.6429064433739999,1.71,3.43,3.9076014067300004
43,5.88727649607,-0.411370491161,1.71,3.43,4.46301278678
45,3.8007912784199993,-0.986208156926,1.71,3.43,3.38264336071
47,4.47444362085,-0.650313844897,1.71,3.43,4.0987171684699995
49,2.55772405624,-0.9909791072,1.71,3.43,3.72130598635
51,-24.1718924084,-0.495403767206,1.54,2.75,4.94129082204
53,-27.681314163499998,-0.493805501259,1.54,2.75,4.88950591805
55,-38.6619177745,-1.76069927132,1.54,2.75,3.21098875333
57,-31.047426859899996,-1.9708691223700001,1.54,2.75,4.12956034649
59,-33.8693514561,-1.66154221561,1.54,2.75,4.1914500599
61,-44.3176708544,-2.52273370663,1.54,2.75,2.48776416942
63,-36.3241876431,-3.44153465107,1.54,2.75,1.9853032768
65,-39.7727773902,-4.15255839815,1.54,2.75,1.41394305461
67,-49.3152731665,-2.49188966564,1.54,2.75,2.7357277421099995
69,-43.6569778693,-4.23777495748,1.54,2.75,1.50772139232
70,6.44010248087,-0.434399506904,1.54,2.75,5.1661069281
73,-24.3663345875,-0.450718183395,1.67,3.03,4.44577357815
75,-27.899843628400003,-0.416540195141,1.67,3.03,4.37934958526
77,-38.657238519,-1.57108074285,1.67,3.03,2.66608291366
79,-30.3918080113,-1.09901021899,1.67,3.03,3.57637334693
81,-34.6851718255,-2.1912562563900004,1.67,3.03,3.6350375255300005
83,-44.299178119,-2.3721730419,1.67,3.03,2.00523385965
85,-36.3421738376,-3.25666403886,1.67,3.03,1.5166324762099999
87,-39.802931754,-3.90730496061,1.67,3.03,0.951718566275
89,-54.26703491399999,-2.2138266845200003,1.54,2.75,3.1373407327
91,7.95415965955,-0.632088953863,1.54,2.75,4.2455199085
93,6.82500201216,-0.49647833736900004,1.54,2.75,4.65993861884
95,-49.2420865574,-2.3237887136,1.67,3.03,2.24855346952
97,-43.6213399025,-3.9559005328300003,1.67,3.03,1.04757166298
99,-54.1432726325,-2.0451913772099997,1.67,3.03,2.67472885388
101,6.9299274222300005,-0.509476433547,0.985,1.82,7.542293118710001
103,5.500639660859999,-1.08525663464,0.985,1.82,7.183726844389999
105,5.602219465319999,-0.700550906363,0.985,1.82,7.86852837974
107,3.445619489,-1.4166552382700002,0.985,1.82,6.780816885569999
109,-24.264592305700003,-0.45772042440399996,1.1,2.27,6.37609552296
111,-31.635625543699998,-1.02021793546,1.1,2.27,5.70805424398
113,-23.950803248299998,-0.482619800514,1.1,2.27,6.2699745601
115,-27.439333345399998,-0.46078357799900005,1.1,2.27,6.252613709789999
117,-38.6156105603,-1.86249727914,1.1,2.27,4.67340050207
119,-30.665165770500003,-1.7651795820599998,1.1,2.27,5.46029727962
121,-35.0932831784,-3.05986815259,1.1,2.27,5.53764576075
123,-44.3023021494,-2.62050074811,1.1,2.27,3.8650840015499996
125,-36.2857927805,-3.55884433946,1.1,2.27,3.2335806217900003
127,-39.7248055439,-4.270629617819999,1.1,2.27,2.66541951224
129,-49.3750841165,-2.58187985965,1.1,2.27,4.10938645327
131,-43.6808384557,-4.3977129031699995,1.1,2.27,2.6776773565900003
133,-54.36162941560001,-2.3326779707,1.1,2.27,4.45583083948
135,8.700750977,-0.683764150121,1.1,2.27,5.72455210293
137,7.152450430549999,-0.581598258214,1.1,2.27,5.99378847722
139,6.588210393890001,-0.514626211884,1.1,2.27,6.34503489322
140,5.19235254199,-1.06600955632,1.1,2.27,5.482920190110001
142,5.30999098516,-0.7176788812649999,1.1,2.27,6.27953099774
144,3.2224142841,-1.41507501685,1.1,2.27,5.567265077949999
146,-24.582409971599997,-0.46435757730599997,1.54,2.75,5.12724251587
148,-31.859460267600003,-0.9705278001000001,1.54,2.75,4.29480437739
150,0.091082268321,-3.67222739703,1.42,2.49,2.03807312158
152,-24.768748093200003,-0.562915217696,1.515,2.68,4.24260096671
155,-26.3438002019,-2.53022261505,1.515,2.68,2.0997672721200002
157,-29.6548427167,-2.28168218187,1.515,2.68,2.74470323006
159,-39.3181489636,-3.40089510088,1.515,2.68,1.13592441976
161,-32.293052761599995,-4.42654615183,1.515,2.68,1.8714978004499998
163,-35.9920798752,-5.03157328475,1.515,2.68,2.36575213316
165,-44.2000847311,-3.2149619062,1.515,2.68,1.29323701576
167,-36.2948729976,-4.31349459501,1.515,2.68,1.54483199558
169,-39.7159820718,-4.99926604264,1.515,2.68,2.1445619825
171,-48.924114580600005,-2.84380223042,1.515,2.68,1.7044371039200001
173,-43.224993598000005,-4.61022537432,1.515,2.68,1.56599695271
175,-53.755598281800005,-2.4242550348700003,1.515,2.68,2.13973592443
176,6.429435131799999,-0.710232449285,1.515,2.68,3.3951499559900005
179,5.60502720364,-0.611494573196,1.515,2.68,3.84986886372
181,5.34472797806,-0.5423454739010001,1.515,2.68,4.289786284690001
183,3.6104202156699996,-1.0718970791700002,1.515,2.68,2.91592517935
184,4.01642906232,-0.883821232385,1.515,2.68,3.69986467089
186,0.316275401073,-3.19547724884,1.515,2.68,1.6681274288799999
188,-39.4307198817,-5.7430131487,1.32,0.0,2.69322816204
190,-48.517368892,-4.28144724042,1.32,0.0,2.4190946582099997
192,-42.8850405753,-5.46234645726,1.32,0.0,2.9867725481700003
194,-53.359110971499994,-3.6968120192300002,1.32,0.0,2.6430301117200004
195,6.45077625406,-2.20655429248,1.32,0.0,2.62942016573
197,3.3299953315499997,-3.1300727340599996,1.32,0.0,2.4933529520900004
199,3.15628967735,-2.3837661417700002,1.32,0.0,3.22358833602
201,0.355019243293,-5.22180394859,1.32,0.0,2.5624487759
203,0.526002917518,-4.85761582852,1.32,0.0,2.9203962369
205,-0.10693031009199999,-4.18519930941,1.32,0.0,2.77439892212
207,-24.1302532163,-0.45980330751299997,0.985,1.82,7.83759855477
209,-31.5346537173,-1.03999917741,0.985,1.82,7.60907287244
211,-23.8541956946,-0.47661590522799996,0.985,1.82,7.8700419663600005
213,-27.336977985900003,-0.449316426333,0.985,1.82,7.87464693657
215,-38.5838657116,-1.9081297257099998,0.985,1.82,6.60247017612
217,-30.924322988000004,-2.10077152374,0.985,1.82,7.242803565499999
219,-34.8632042868,-2.9080454758,0.985,1.82,7.0655436530600015
221,-44.2909646035,-2.67716075756,0.985,1.82,5.41768622704
223,4.82357946382,-0.901088629032,1.54,2.75,3.99132920427
225,5.12043983192,-0.651858539594,1.54,2.75,4.8981384534300005
227,2.9963781147099997,-1.30101568911,1.54,2.75,4.379670748000001
229,-24.8457376554,-0.430848657014,1.67,3.03,4.65866663246
231,-32.05967285,-0.8823456682619999,1.67,3.03,3.7353964026899997
233,-36.2654796435,-3.60998735069,0.985,1.82,4.83073137084
235,-39.7043070466,-4.321988435980001,0.985,1.82,4.25253589539
237,-49.377937074799995,-2.63575291624,0.985,1.82,5.683085588940001
239,-43.6831403033,-4.46995389721,0.985,1.82,4.18021427281
241,-54.3913860096,-2.41134110568,0.985,1.82,6.18199699847
243,9.081650818650001,-0.732450021602,0.985,1.82,7.3818724176
245,7.555047974960001,-0.593873870011,0.985,1.82,7.444143841919999
247,-53.95036839310001,-2.96625709991,1.32,2.31,3.6170805162699997
249,7.4794331980600015,-0.873722005951,1.32,2.31,4.97477910983
251,5.7280356026,-0.840624322797,1.32,2.31,5.33323056222
253,5.15241130634,-0.802353659939,1.32,2.31,5.55528537159
255,3.8798763306199997,-1.56252141316,1.32,2.31,4.13635897356
258,-0.09496356888319998,-4.02398501302,1.32,2.31,2.618799257
260,-24.3907778813,-0.63343721718,1.42,2.49,4.907758649040001
262,-32.8895974808,-2.08843857407,1.42,2.49,3.47931985579
265,-28.696694837600003,-1.7575554189400002,1.42,2.49,3.3939876774699997
267,-39.285389368400004,-3.7236698360000005,1.42,2.49,1.70645562724
269,-32.2470812914,-4.73543106749,1.42,2.49,1.5882650349599998
271,-35.932816766900004,-5.383893684689999,1.42,2.49,2.31035348909
273,-44.2621924607,-3.57163879362,1.42,2.49,2.0059113422
275,-36.311315643600004,-4.65845681266,1.42,2.49,1.40412526665
277,-39.710425568299996,-5.39290991392,1.42,2.49,1.8536307185499998
279,-49.0040274755,-3.14669817597,1.42,2.49,2.4435118526400004
281,-43.267471381499995,-5.0217151071099995,1.42,2.49,1.4127372728100003
283,-53.8875745651,-2.7096239602599996,1.42,2.49,2.82972840379
285,7.13981517595,-0.726353031602,1.42,2.49,4.11508684098
287,5.91756561502,-0.66764259021,1.42,2.49,4.5286836732
289,5.39806097761,-0.670797218347,1.42,2.49,4.88086686893
291,3.8458292721199996,-1.3341192092,1.42,2.49,3.32216472663
293,3.5748541558899998,-1.59075078551,1.42,2.49,4.45315495641
295,-43.7791520192,-4.68804838498,1.32,0.0,2.3455261711
297,-39.2541000583,-3.9690015472099995,1.32,2.31,2.42799474282
299,-32.2152616196,-4.91364307821,1.32,2.31,1.79827569732
301,-35.8748858993,-5.65931338428,1.32,2.31,2.01494482341
303,-44.2808114929,-3.8396823172800003,1.32,2.31,2.75160256076
305,-36.3159974185,-4.882961845680001,1.32,2.31,2.12207693353
307,-35.9651121541,-5.18790864861,1.32,0.0,2.7651741094
309,-36.2476238375,-4.6211267629699995,0.9,1.73,3.72532405261
311,-39.6280113783,-5.0680277257199995,0.9,1.73,4.1611728275
313,-49.0594069813,-3.5443198169800003,0.9,1.73,4.61006916922
315,-43.278321910600006,-4.943586214,0.9,1.73,3.78198773861
317,-53.9630829303,-3.0686797110299997,0.9,1.73,5.03117141897
319,7.84665826077,-1.06693643117,0.9,1.73,6.4807179723
321,5.84307308856,-0.961631601819,0.9,1.73,6.724264129730001
323,5.33604160339,-0.872825504626,0.9,1.73,6.7210016479400005
325,-0.0400262820459,-4.04255891098,0.9,1.73,4.28733095934
327,-24.1573043043,-0.712875062199,1.32,2.31,5.67261349966
329,-32.0731791502,-1.5585967853,1.32,2.31,4.250275792159999
330,-26.5931418788,-3.49893688386,1.32,2.31,4.23186695367
332,-28.0155275107,-1.5377446852599999,1.32,2.31,3.12689743862
